Aussaat_ID,Versuchsjahr,Termin,Termin_Aufgang,Parzelle_ID,Saatstaerke_Anzahl,Saatstaerke_kg_ha,Reihenabstand,Saat_Pflanzgut_ID,Keimfaehige_Koerner,Technik_ID,Bemerkungen_ID
91,1963,1963-05-09T00:00:00,,12091,,41,62.5,1,,,
92,1963,1963-05-09T00:00:00,,12092,,41,62.5,1,,,
93,1963,1963-05-09T00:00:00,,12093,,41,62.5,1,,,
94,1963,1963-05-09T00:00:00,,12094,,41,62.5,1,,,
95,1963,1963-05-09T00:00:00,,12095,,41,62.5,1,,,
96,1963,1963-05-09T00:00:00,,12096,,41,62.5,1,,,
97,1963,1963-05-09T00:00:00,,12097,,41,62.5,1,,,
98,1963,1963-05-09T00:00:00,,12098,,41,62.5,1,,,
99,1963,1963-05-09T00:00:00,,12099,,41,62.5,1,,,
100,1963,1963-05-09T00:00:00,,12100,,41,62.5,1,,,
101,1963,1963-05-09T00:00:00,,12101,,41,62.5,1,,,
102,1963,1963-05-09T00:00:00,,12102,,41,62.5,1,,,
103,1963,1963-05-09T00:00:00,,12103,,41,62.5,1,,,
104,1963,1963-05-09T00:00:00,,12104,,41,62.5,1,,,
105,1963,1963-05-09T00:00:00,,12105,,41,62.5,1,,,
106,1963,1963-05-09T00:00:00,,12106,,41,62.5,1,,,
107,1963,1963-05-09T00:00:00,,12107,,41,62.5,1,,,
108,1963,1963-05-09T00:00:00,,12108,,41,62.5,1,,,
109,1963,1963-05-09T00:00:00,,12109,,41,62.5,1,,,
110,1963,1963-05-09T00:00:00,,12110,,41,62.5,1,,,
111,1963,1963-05-09T00:00:00,,12111,,41,62.5,1,,,
112,1963,1963-05-09T00:00:00,,12112,,41,62.5,1,,,
113,1963,1963-05-09T00:00:00,,12113,,41,62.5,1,,,
114,1963,1963-05-09T00:00:00,,12114,,41,62.5,1,,,
115,1963,1963-05-09T00:00:00,,12115,,41,62.5,1,,,
116,1963,1963-05-09T00:00:00,,12116,,41,62.5,1,,,
117,1963,1963-05-09T00:00:00,,12117,,41,62.5,1,,,
118,1963,1963-05-09T00:00:00,,12118,,41,62.5,1,,,
119,1963,1963-05-09T00:00:00,,12119,,41,62.5,1,,,
