Beregnung_ID,Versuchsjahr,Termin,Parzelle_ID,Menge,Bemerkungen_ID
115,1974,1974-05-21T00:00:00,12118,20,
116,1974,1974-05-21T00:00:00,12117,20,
117,1974,1974-05-21T00:00:00,12116,20,
118,1974,1974-05-21T00:00:00,12115,20,
119,1974,1974-05-21T00:00:00,12114,20,
120,1974,1974-05-21T00:00:00,12113,20,
121,1974,1974-05-21T00:00:00,12112,20,
122,1974,1974-05-21T00:00:00,12111,20,
123,1974,1974-05-21T00:00:00,12110,20,
124,1974,1974-05-21T00:00:00,12109,20,
125,1974,1974-05-21T00:00:00,12108,20,
126,1974,1974-05-21T00:00:00,12107,20,
127,1974,1974-05-21T00:00:00,12106,20,
128,1974,1974-05-21T00:00:00,12063,20,
129,1974,1974-05-21T00:00:00,12062,20,
130,1974,1974-05-21T00:00:00,12061,20,
131,1974,1974-05-21T00:00:00,12060,20,
132,1974,1974-05-21T00:00:00,12059,20,
133,1974,1974-05-21T00:00:00,12058,20,
134,1974,1974-05-21T00:00:00,12057,20,
135,1974,1974-05-21T00:00:00,12056,20,
136,1974,1974-05-21T00:00:00,12055,20,
137,1974,1974-05-21T00:00:00,12054,20,
138,1974,1974-05-21T00:00:00,12053,20,
139,1974,1974-05-21T00:00:00,12052,20,
140,1974,1974-05-21T00:00:00,12051,20,
141,1974,1974-05-21T00:00:00,12050,20,
142,1974,1974-05-21T00:00:00,12049,20,
143,1974,1974-05-21T00:00:00,12048,20,
144,1974,1974-05-21T00:00:00,12047,20,
145,1974,1974-05-21T00:00:00,12046,20,
146,1974,1974-05-21T00:00:00,12045,20,
147,1974,1974-05-21T00:00:00,12044,20,
148,1974,1974-05-21T00:00:00,12043,20,
149,1974,1974-05-21T00:00:00,12042,20,
150,1974,1974-05-21T00:00:00,12041,20,
151,1974,1974-05-21T00:00:00,12040,20,
152,1974,1974-05-21T00:00:00,12039,20,
153,1974,1974-05-21T00:00:00,12038,20,
154,1974,1974-05-21T00:00:00,12037,20,
155,1974,1974-05-21T00:00:00,12036,20,
156,1974,1974-05-21T00:00:00,12035,20,
157,1974,1974-05-21T00:00:00,12034,20,
158,1974,1974-05-21T00:00:00,12033,20,
159,1974,1974-05-21T00:00:00,12032,20,
160,1974,1974-05-21T00:00:00,12031,20,
161,1974,1974-05-21T00:00:00,12030,20,
162,1974,1974-05-21T00:00:00,12029,20,
163,1974,1974-05-21T00:00:00,12028,20,
164,1974,1974-05-21T00:00:00,12027,20,
165,1974,1974-05-21T00:00:00,12026,20,
166,1974,1974-05-21T00:00:00,12025,20,
167,1974,1974-05-21T00:00:00,12024,20,
168,1974,1974-05-21T00:00:00,12023,20,
169,1974,1974-06-21T00:00:00,12023,20,
170,1974,1974-06-21T00:00:00,12024,20,
171,1974,1974-06-21T00:00:00,12025,20,
172,1974,1974-06-21T00:00:00,12026,20,
173,1974,1974-06-21T00:00:00,12027,20,
174,1974,1974-06-21T00:00:00,12028,20,
175,1974,1974-06-21T00:00:00,12029,20,
176,1974,1974-06-21T00:00:00,12030,20,
177,1974,1974-06-21T00:00:00,12031,20,
178,1974,1974-06-21T00:00:00,12032,20,
