Bodenbearbeitung_ID,Versuchsjahr,Termin,Parzelle_ID,Tiefe,Technik_ID,Bodenbearbeitung_Massnahme_ID
119,1985,1984-09-28T00:00:00,82,25,8,4
120,1985,1984-09-28T00:00:00,135,25,8,4
121,1985,1984-09-28T00:00:00,7,6.5,4,1
122,1985,1984-09-28T00:00:00,48,6.5,4,1
123,1985,1984-09-28T00:00:00,97,6.5,4,1
124,1985,1984-09-28T00:00:00,12,6.5,4,1
125,1985,1984-09-28T00:00:00,61,6.5,4,1
126,1985,1984-09-28T00:00:00,102,6.5,4,1
127,1985,1984-09-28T00:00:00,25,6.5,4,1
128,1985,1984-09-28T00:00:00,66,6.5,4,1
129,1985,1984-09-28T00:00:00,115,6.5,4,1
130,1985,1984-09-28T00:00:00,30,6.5,4,1
131,1985,1984-09-28T00:00:00,79,6.5,4,1
132,1985,1984-09-28T00:00:00,120,6.5,4,1
133,1985,1984-09-28T00:00:00,43,6.5,4,1
134,1985,1984-09-28T00:00:00,84,6.5,4,1
135,1985,1984-09-28T00:00:00,133,6.5,4,1
136,1985,1984-09-28T00:00:00,8,6.5,4,1
137,1985,1984-09-28T00:00:00,47,6.5,4,1
138,1985,1984-09-28T00:00:00,98,6.5,4,1
139,1985,1984-09-28T00:00:00,11,6.5,4,1
140,1985,1984-09-28T00:00:00,62,6.5,4,1
141,1985,1984-09-28T00:00:00,101,6.5,4,1
142,1985,1984-09-28T00:00:00,26,6.5,4,1
143,1985,1984-09-28T00:00:00,65,6.5,4,1
144,1985,1984-09-28T00:00:00,116,6.5,4,1
145,1985,1984-09-28T00:00:00,29,6.5,4,1
146,1985,1984-09-28T00:00:00,80,6.5,4,1
147,1985,1984-09-28T00:00:00,119,6.5,4,1
148,1985,1984-09-28T00:00:00,44,6.5,4,1
149,1985,1984-09-28T00:00:00,83,6.5,4,1
150,1985,1984-09-28T00:00:00,134,6.5,4,1
151,1985,1984-09-28T00:00:00,9,6.5,4,1
152,1985,1984-09-28T00:00:00,46,6.5,4,1
153,1985,1984-09-28T00:00:00,99,6.5,4,1
154,1985,1984-09-28T00:00:00,10,6.5,4,1
155,1985,1984-09-28T00:00:00,63,6.5,4,1
156,1985,1984-09-28T00:00:00,100,6.5,4,1
157,1985,1984-09-28T00:00:00,27,6.5,4,1
158,1985,1984-09-28T00:00:00,64,6.5,4,1
159,1985,1984-09-28T00:00:00,117,6.5,4,1
160,1985,1984-09-28T00:00:00,28,6.5,4,1
161,1985,1984-09-28T00:00:00,81,6.5,4,1
162,1985,1984-09-28T00:00:00,118,6.5,4,1
163,1985,1984-09-28T00:00:00,45,6.5,4,1
164,1985,1984-09-28T00:00:00,82,6.5,4,1
165,1985,1984-09-28T00:00:00,135,6.5,4,1
166,1985,1984-10-15T00:00:00,1,25,8,4
167,1985,1984-10-15T00:00:00,54,25,8,4
168,1985,1984-10-15T00:00:00,91,25,8,4
169,1985,1984-10-15T00:00:00,18,25,8,4
170,1985,1984-10-15T00:00:00,55,25,8,4
171,1985,1984-10-15T00:00:00,108,25,8,4
172,1985,1984-10-15T00:00:00,19,25,8,4
173,1985,1984-10-15T00:00:00,72,25,8,4
174,1985,1984-10-15T00:00:00,109,25,8,4
175,1985,1984-10-15T00:00:00,36,25,8,4
176,1985,1984-10-15T00:00:00,73,25,8,4
177,1985,1984-10-15T00:00:00,126,25,8,4
178,1985,1984-10-15T00:00:00,37,25,8,4
179,1985,1984-10-15T00:00:00,90,25,8,4
180,1985,1984-10-15T00:00:00,127,25,8,4
181,1985,1984-10-15T00:00:00,2,25,8,4
182,1985,1984-10-15T00:00:00,53,25,8,4
183,1985,1984-10-15T00:00:00,92,25,8,4
184,1985,1984-10-15T00:00:00,17,25,8,4
185,1985,1984-10-15T00:00:00,56,25,8,4
186,1985,1984-10-15T00:00:00,107,25,8,4
187,1985,1984-10-15T00:00:00,20,25,8,4
188,1985,1984-10-15T00:00:00,71,25,8,4
189,1985,1984-10-15T00:00:00,110,25,8,4
190,1985,1984-10-15T00:00:00,35,25,8,4
191,1985,1984-10-15T00:00:00,74,25,8,4
192,1985,1984-10-15T00:00:00,125,25,8,4
193,1985,1984-10-15T00:00:00,38,25,8,4
194,1985,1984-10-15T00:00:00,89,25,8,4
195,1985,1984-10-15T00:00:00,128,25,8,4
196,1985,1984-10-15T00:00:00,3,25,8,4
197,1985,1984-10-15T00:00:00,52,25,8,4
198,1985,1984-10-15T00:00:00,93,25,8,4
199,1985,1984-10-15T00:00:00,16,25,8,4
200,1985,1984-10-15T00:00:00,57,25,8,4
201,1985,1984-10-15T00:00:00,106,25,8,4
202,1985,1984-10-15T00:00:00,21,25,8,4
203,1985,1984-10-15T00:00:00,70,25,8,4
204,1985,1984-10-15T00:00:00,111,25,8,4
205,1985,1984-10-15T00:00:00,34,25,8,4
206,1985,1984-10-15T00:00:00,75,25,8,4
207,1985,1984-10-15T00:00:00,124,25,8,4
208,1985,1984-10-15T00:00:00,39,25,8,4
209,1985,1984-10-15T00:00:00,88,25,8,4
210,1985,1984-10-15T00:00:00,129,25,8,4
211,1985,1984-10-16T00:00:00,4,6.5,4,1
