Sorte_ID,Sorte,Bsa_Code,Kultur_ID
1,Avalon,ZR 802,6
2,Avanti,,6
3,Dorena,ZR 1095,6
4,Edda,ZR 510,6
5,Eva,ZR 327,6
6,Flair,WW 2187,5
7,Granada,WW 935,5
8,Hilma,ZR 371,6
9,Mammut,GW 363,4
10,Merlot,GW 2015,4
11,Monoricca,ZR 331,6
12,Orestis,WW 1508,5
13,Primo,ZR 278,6
14,Reka,ZR 491,6
15,Ronaldinio,M 10323,1
16,Scarlett,GS 1543,2
17,Star,WS 474,3
18,Thasos,WS 661,3
19,Theresa,GW 255,4
20,Tinos,WS 646,3
21,Tommi,WW 2880,5
